Question ID,Description,Topic,Correct Answer,Options
1827,The tissue which has free surface that faces either a body fluid or the outside environment is called characteristics of the,structural organisation in animals ,Epithelial tissue,"Muscular tissue, Fluid connective tissue, Epithelial tissue, Nervous tissue"
1828,"Epithelial tissue is distinguished from connective tissue, muscular, or nervous tissue by its",structural organisation in animals ,basement membrane,"large extracellular matrix, contractibility, ability to carry action potentials, basement membrane"
1829,The ciliated columnar epithelial cells in humans occur in,structural organisation in animals ,bronchioles and fallopian tubes,"Eustachian tube and stomach lining, bronchioles and fallopian tubes, bile duct and oesophagus, fallopian tubes and urethra"
1830,The squamous epithelium is found in,structural organisation in animals ,air sacs of lungs,"stomach, intestine, trachea, air sacs of lungs"
1831,The kind of epithelium which forms the inner walls of blood vessels is,structural organisation in animals ,squamous epithelium,"cuboidal epithelium, columnar epithelium, ciliated columnar epithelium, squamous epithelium"
1832,Which of the following type of cell junction is not found in animal tissues?,structural organisation in animals ,Plasmodesmata,"Adhering junction, Tight junction, Gap junction, Plasmodesmata"
1833,Which of the following statement is incorrect regarding cuboidal epithelium?,structural organisation in animals ,They are found in the walls of blood vessels and air sacs of lungs.,"It is an epithelial tissue, It is composed of a single layer of cube-like cells., They are found in the walls of blood vessels and air sacs of lungs., Secretion and absorption are the main functions of these tissue."
1834,Which of the following statement(s) is/are correct  regarding compound epithelium?,structural organisation in animals ,All of the above,"It is made of more than one layer of cells and thus has a limited role in secretion and absorption., Their main function is to provide protection against chemical and mechanical stresses., They cover the dry surface of the skin, moist surface of buccal cavity, pharynx, inner lining of ducts of salivary glands and pancreatic ducts., All of the above"
1835,"Ciliated simple columnar epithelium often contains _________,which increase the surface area for secretion and absorption.",structural organisation in animals ,microvilli,"flagella, collagen fibres, microvilli, all of these"
1836,A student was given a sample of two tissues. He observes the tissues under the microscope and draws their figures (1 and 2) as shown below. Identify the tissues (1 and 2).,structural organisation in animals ,1. Columnar cells bearing cilia; 2: Multicellular glandular epithelium,"1: Columnar cells bearing cilia: 2: Unicellular glandular epithelium, 1: Cuboidal cells bearing cilia: 2: Multicellular glandular epithelium, 1: Compound cells bearing cilia; 2: Unicellular glandular epithelium, 1. Columnar cells bearing cilia; 2: Multicellular glandular epithelium"
1837,Which of the following statement(s) regarding cell junctions is/are correct?,structural organisation in animals ,All of the above,"Tight junctions help to stop substances from leaking across a tissue., Adhering junctions perform cementing to keen neighbouring cells together., All of the above, Gap junctions facilitate the cells to communicate With each other by connecting the cytoplasm adjoining cells, for rapid transfer of ions small molecules and sometimes big molecules"
1838,Choose the correctly matched pair,structural organisation in animals ,Tubular parts of nephrons - Cuboidal epithelium,"Inner lining of salivary ducts - Ciliated epithelium, Moist surface of buccal cavity - Glandular epithelium, Tubular parts of nephrons - Cuboidal epithelium, Inner surface of bronchioles - Squamous epithelium"
1839,The function of the gap junction is to:,structural organisation in animals ,"facilitate communication between adjoining cells by connecting the cytoplasm for rapid transfer of ions, small molecules and some large molecules","separate two cells from each other, stop substance from leaking across a tissue, performing cementing to keep neighbouring cells together, facilitate communication between adjoining cells by connecting the cytoplasm for rapid transfer of ions, small molecules and some large molecules"
1840,The only type of cell seen in a tendon is,structural organisation in animals ,fibroblasts,"muscle fibres, reticular cells, collagenous cells, fibroblasts"
1841,Tendons and ligaments are the examples of,structural organisation in animals ,dense regular connective tissue,"areolar connective tissue, adipose tissue, dense regular connective tissue, loose connective tissue"
1842,Which of the following statement is incorrect regarding cuboidal epithelium?,structural organisation in animals ,They are found in the walls of blood vessels and air sacs of lungs,"It is an epithelial tissue., It is Composed of a single layer of cube-like cells, They are found in the walls of blood vessels and air sacs of lungs, Secretion and absorption are the main functions of these tissue"
1843,What are the three basic components of connective tissues ?,structural organisation in animals ,"Cells, protein fibers and ground substance","Ground substance, cells and basement membrane, Cartilage, intercellular matrix and serum, Cells, protein fibers and ground substance, Collagen, elastin and reticular fibers"
1844,The major functions of loose connective tissue include,structural organisation in animals ,All of the above,"occupying spaces between organs and supporting epithelia, supporting and surrounding blood vessels and nerves, cushioning organs, storing lipids and facilitating diffusion, All of the above"
1845,Which one is the characteristic of epithelial tissue?,structural organisation in animals ,The cells will have a rapid rate of cell division.,"Tissues are highly vascularised., These cells never produce glands., The cells will have a rapid rate of cell division., Large intercellular spaces are seen between cells."
1846,What will happen if ligaments are cut or broken?,structural organisation in animals ,Bones will become unfixed.,"No movements at joints., Bones will become fixed, Bones will become unfixed., Bone will move freely at joints."
1847,The supportive skeletal structures in the human external ears and in the nose tip are examples of,structural organisation in animals ,cartilage,"ligament, areolar tissue, bone, cartilage"
1848,Which of the following types of connective tissue is mismatched with its matrix?,structural organisation in animals ,Cartilage - Highly vascular matrix,"Areolar - Loosely packed matrix of protein fibres, Bone - Mineralized matrix, Cartilage - Highly vascular matrix, Blood - Liquid matrix"
1849,The protein present in the matrix of cartilage is,structural organisation in animals ,Chondrin,"Chitin, Chondrin, Ossein, Chondriotin"
1850,The camel's hump is composed of a tissue which provides water when oxidized. It is:,structural organisation in animals ,Adipose tissue,"Skeletal tissue, Areolar tissue, Adipose tissue, Muscular tissue"
1851,The function of the gap junction is to,structural organisation in animals ,"facilitate communication between adjoining cells by connecting the cytoplasm for rapid transfer of ions, small molecules and some large molecules","separate two cells from each other, stop substance from leaking across a tissue., performing cementing to keep neighbouring cells together, facilitate communication between adjoining cells by connecting the cytoplasm for rapid transfer of ions, small molecules and some large molecules"
1852,Choose the correctly matched pair.,structural organisation in animals ,Areolar tissue - Loose connective tissue,"Tendon-Specialized connective tissue, Adipose tissue - Dense connective tissue, Areolar tissue - Loose connective tissue, Cartilage-Loose connective tissue"
1853,"Muscle tissue cells are contractile, which means they",structural organisation in animals ,are specialized in contraction and relaxation,"are responsible for the production and secretion of enzymes., are specialized in contraction and relaxation, help in the movement of involuntary organs only., all of the above"
1854,The fibres of which of the following muscles are fusiform and do not show striations,structural organisation in animals ,Smooth muscles,"Skeletal muscles, Cardiac muscles, Both (a) and (b), Smooth muscles"
1855,Intercalated discs are the communication junctions between the cells of,structural organisation in animals ,cardiac muscles,"cardiac muscles, striped muscles, adipose tissue, nerve and striated muscles"
1856,Smooth muscles are _______.,structural organisation in animals ,"involuntary, spindle shaped, uninucleated, tapering","voluntary, branched, uninucleate, voluntary, multinucleate, cylindrical, involuntary, cylindrical, multinucleate, involuntary, spindle shaped, uninucleated, tapering"
1857,Which of the following statement(s) is/are correct about muscle tissue?,structural organisation in animals ,All of the above,"Each muscle is made of many long, cylindrical fibres arranged in parallel arrays., Muscle fibres contract (shorten) in response to stimulation, then relax (lengthen) and return to their uncontracted state in a coordinated fashion, Muscles play an active role in all movements of the body, All of the above"
1858,Three essential components of most neurons are,structural organisation in animals ,"axon, dendrites and cell body.","simple epithelium, extracellular matrix and nerves., axon, dendrites and cell body., nerve cells, synapse and neuroglia., mylein sheeth, node of Ranvier and Schwann cells"
1859,Neuroglia are,structural organisation in animals ,supporting and non-protecting cells of neural tissue,"excitable cells of neural tissue., supporting and non-protecting cells of neural tissue, two to three times in volume of neural tissue, protective and excitable cells of neural tissue"
1860,Nervous tissue cells that play several supporting roles but do not transmit impulses are called,structural organisation in animals ,glial cells,"glial cells, dendrites, nerve cells, neurons"
1861,Which of the following statements Is not correct regarding neural tissue ?,structural organisation in animals ,"Chondrocytes, the unit of neural system are excitable cells.","it exerts the greatest control over the body's responsiveness to changing conditions., Chondrocytes, the unit of neural system are excitable cells., Neuroglial cells protect and support neurons., When a neuron is suitably stimulated, an electrical disturbance is generated."
1862,The secretions of endocrine glands are released directly,structural organisation in animals ,into the blood stream,"into the skin surface, into the blood stream, into a gland duct, into the brain tissue"
1863,Mast cells are associated with,structural organisation in animals ,areolar connective tissue,"exocrine glands, endocrine glands, areolar connective tissue, neural tissue"
1864,Which of the following is involved in the production of new blood cells?,structural organisation in animals ,Bone marrow,"Adipose cell, Bone marrow, Liver, Matrix"
1865,Which of the following vertebrate tissues would be an excellent source of collagen?,structural organisation in animals ,Tendon,"Liver, Nerve, Muscle, Tendon"
1866,The complexity in organ and organ systems displays certain discernable trend. This discernable trend is known as,structural organisation in animals ,Evolutionary trend,"Evolutionary trend, Morphological trend, Complexity trend, Anatomical trend"
1867,Which of the following statement is correct about anatomy,structural organisation in animals ,Study of morphology of internal organs in the animal,"Study of form or externally visible features, Study of internal as well as external features., Study of morphology of internal organs in the animal, None of the above statements"
1868,General function of gland is to,structural organisation in animals ,produce and secrete specialized compounds to control and maintain different body functions,"protect the body, control the function of epithelial tissues, produce and secrete specialized compounds to control and maintain different body functions, help to maintain blood pressure and nerve actions"
1869,Which one of the following pair of structures distinguish a nerve cell from other types of cell ?,structural organisation in animals ,Cell body and Dendrites,"Vacuoles and Fibres, Flagellum and Medullary sheath, Nucleus and Mitochondria, Cell body and Dendrites"
1870,Frogs are:,structural organisation in animals ,Both (a) and (c),"Ureotelic, Stenothermal, Poikilothermal, Both (a) and (c)"
1871,Frog takes water through which of the following organs?,structural organisation in animals ,Skin,"Eyes, Skin, Mouth, Gills"
1872,Mesorchium in frogs is associated with,structural organisation in animals ,Both (a) & (b),"Testes, Kidney, Brain, Both (a) & (b)"
